Make,Model,Class,EngineSize,Cylinders,Transmission,FuelType,ConsumptionCity,ConsumptionHwy,ConsumptionComb,CO2_Emissions,CO2_Rating
Lexus,LC 500 Convertible,Minicompact,5,8,AS10,Z,16,9.5,13,304,4
Lexus,LC 500h,Subcompact,3.5,6,AV10,Z,9,7.1,8.1,189,6
Lexus,LX 600,SUV: Standard,3.4,6,AS10,Z,14.2,10.8,12.7,298,4
Lexus,NX 250 AWD,SUV: Small,2.5,4,AS8,X,9.4,7.4,8.4,198,6
Lexus,NX 350 AWD,SUV: Small,2.4,4,AS8,Z,10.5,8.3,9.5,221,5
Lexus,NX 350 AWD F SPORT,SUV: Small,2.4,4,AS8,Z,10.5,8.4,9.5,222,5
Lexus,NX 350h AWD,SUV: Small,2.5,4,AV6,Z,5.7,6.4,6,139,7
Lexus,RC 300 AWD,Subcompact,3.5,6,AS6,Z,12.2,9,10.8,253,5
Lexus,RC 350 AWD,Subcompact,3.5,6,AS6,Z,12.2,9,10.8,253,5
Lexus,RC F,Subcompact,5,8,AS8,Z,14.4,9.6,12.2,285,4
Lexus,RX 350 AWD,SUV: Small,2.4,4,AS8,Z,11.2,8.4,9.9,231,5
Lexus,RX 350h AWD,SUV: Small,2.5,4,AV6,Z,6.3,6.8,6.5,151,7
Lexus,RX 500h AWD,SUV: Small,2.4,4,AS6,Z,8.7,8.4,8.6,199,6
Lexus,UX 250h AWD,Compact,2,4,AV6,X,5.7,6.2,6,140,7
Lincoln,Aviator AWD,SUV: Standard,3,6,AS10,X,13.7,9.7,11.9,280,4
Lincoln,Corsair AWD,SUV: Small,2,4,AS8,X,11.2,8.3,9.9,232,5
Lincoln,Nautilus AWD,SUV: Small,2,4,A8,X,11.6,9.4,10.6,249,5
Lincoln,Nautilus AWD,SUV: Small,2,4,AS8,X,11.5,9.4,10.6,249,5
Lincoln,Nautilus AWD,SUV: Small,2.7,6,AS8,X,12.7,9.3,11.2,262,4
Lincoln,Navigator 4X4,SUV: Standard,3.5,6,AS10,X,15.2,10.8,13.2,310,4
Lincoln,Navigator 4X4 (Without Stop-Start),SUV: Standard,3.5,6,AS10,X,15.7,11.1,13.6,320,3
Maserati,Ghibli GT,Mid-size,3,6,A8,Z,13.4,9.4,11.6,271,4
Maserati,Ghibli Modena,Mid-size,3,6,A8,Z,13.4,9.4,11.6,271,4
Maserati,Ghibli Modena AWD,Mid-size,3,6,A8,Z,14.1,9.5,12,284,4
Maserati,Ghibli Trofeo,Mid-size,3.8,8,A8,Z,17.4,11.9,14.9,348,3
Maserati,Grecale GT,SUV: Small,2,4,A8,Z,10.6,8,9.4,218,5
Maserati,Grecale Modena,SUV: Small,2,4,A8,Z,10.6,8,9.4,218,5
Maserati,Grecale Trofeo,SUV: Small,3,6,A8,Z,13.3,9.5,11.6,268,4
Maserati,Levante GT,SUV: Standard,3,6,A8,Z,15.1,10.9,13.2,308,4
Maserati,Levante Modena,SUV: Standard,3,6,A8,Z,15.1,10.9,13.2,308,4
Maserati,Levante Modena V8,SUV: Standard,3.8,8,A8,Z,17.4,12,15,349,3
Maserati,Levante Trofeo,SUV: Standard,3.8,8,A8,Z,17.4,12,15,349,3
Maserati,MC20,Two-seater,3,6,AS8,Z,15.4,9.5,12.8,295,4
Maserati,MC20 Spyder,Two-seater,3,6,AS8,Z,15.6,9.4,12.8,299,4
Maserati,Quattroporte GT,Full-size,3,6,A8,Z,14.4,9.3,12.1,281,4
Maserati,Quattroporte Modena,Full-size,3,6,A8,Z,14.4,9.3,12.1,281,4
Maserati,Quattroporte Modena AWD,Full-size,3,6,A8,Z,14.1,9.5,12,284,4
Maserati,Quattroporte Trofeo,Full-size,3.8,8,A8,Z,17.4,11.9,14.9,348,3
